N° ocorrência;Data;Matrícula;Classificação;Tipo;Localidade;UF;Aeródromo;Operação;Status
77716;24/02/2018;PTELW;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MANAUS;AM;SBEG;TÁXI AÉREO;FINALIZADA
78181;22/02/2018;PPEOY;INCIDENTE;OUTROS;SÃO PAULO;SP;***;POLICIAL;FINALIZADA
77718;22/02/2018;PTHYW;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SANTA RITA DO NOVO DESTINO;GO;***;TÁXI AÉREO;FINALIZADA
77700;22/02/2018;PTVKR;ACIDENTE;PERDA DE CONTROLE EM VOO;MANAUS;AM;***;PRIVADA;FINALIZADA
77695;22/02/2018;PRSDU;INCIDENTE GRAVE;OUTROS;BRASÍLIA;DF;SBBR;NÃO REGULAR;FINALIZADA
77693;22/02/2018;PTUON;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;TANGARÁ DA SERRA;MT;***;AGRÍCOLA;FINALIZADA
77857;20/02/2018;PRGNO;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;LIMA DUARTE;MG;SJXM;PRIVADA;FINALIZADA
77724;19/02/2018;PPGBP;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;NOVO HORIZONTE;SC;SDNH;INSTRUÇÃO;FINALIZADA
77660;18/02/2018;PRSER;ACIDENTE;PERDA DE CONTROLE EM VOO;SÃO DESIDÉRIO;BA;***;AGRÍCOLA;FINALIZADA
77719;17/02/2018;PPIII;INCIDENTE;COLISÃO COM AVE;SÃO PAULO;SP;SBSP;PRIVADA;FINALIZADA
77680;17/02/2018;PUXXX14;ACIDENTE;OPERAÇÃO A BAIXA ALTITUDE;PORTO UNIÃO;SC;***;PRIVADA;NULL
77698;15/02/2018;PTNYM;ACIDENTE;OPERAÇÃO A BAIXA ALTITUDE;CAMAPUÃ;MS;***;INSTRUÇÃO;FINALIZADA
77703;14/02/2018;PTVVN;INCIDENTE GRAVE;OPERAÇÃO A BAIXA ALTITUDE;PARAGUAÇU PAULISTA;SP;***;AGRÍCOLA;FINALIZADA
77679;14/02/2018;PUEAP;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;PASSO FUNDO;RS;***;PRIVADA;FINALIZADA
77685;12/02/2018;PRTNO;ACIDENTE;PERDA DE CONTROLE NO SOLO;ITAPETININGA;SP;***;AGRÍCOLA;FINALIZADA
77690;11/02/2018;PUADD;ACIDENTE;PERDA DE CONTROLE EM VOO;RIO BRANCO;AC;***;PRIVADA;FINALIZADA
77707;09/02/2018;PPPEM;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO PAULO;SP;SBMT;PRIVADA;FINALIZADA
77667;09/02/2018;PTOQX;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR, PERDA DE CONTROLE EM VOO;RIBEIRÃO CASCALHEIRA;MT;***;AGRÍCOLA;FINALIZADA
77705;08/02/2018;PREAA;INCIDENTE;CONTATO ANORMAL COM A PISTA;SÃO JOSÉ DO RIO PRETO;SP;SBSR;PRIVADA;FINALIZADA
77675;08/02/2018;PTWUL;ACIDENTE;COLISÃO NO SOLO;ARROIO GRANDE;RS;***;AGRÍCOLA;FINALIZADA
77687;07/02/2018;PTURM;ACIDENTE;OPERAÇÃO A BAIXA ALTITUDE;PENÁPOLIS;SP;***;PRIVADA;FINALIZADA
77670;07/02/2018;PTAVO;ACIDENTE;PERDA DE CONTROLE EM VOO;ITAITUBA;PA;***;PRIVADA;FINALIZADA
77661;07/02/2018;PPYBA;INCIDENTE;COLISÃO COM AVE;VITÓRIA;ES;SBVT;NÃO REGULAR;FINALIZADA
77688;03/02/2018;PTRPK;INCIDENTE GRAVE;***;BRAGANÇA PAULISTA;SP;SBBP;PRIVADA;NULL
77704;01/02/2018;PTECB;INCIDENTE;OUTROS;SÃO PAULO;SP;SBMT;PRIVADA;FINALIZADA
77666;01/02/2018;PRSUB;ACIDENTE;POUSO AQUÉM/ALÉM DA PISTA;MATA;RS;***;AGRÍCOLA;FINALIZADA
77763;31/01/2018;PTOLY;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MONTENEGRO;RS;SSNG;INSTRUÇÃO;FINALIZADA
77726;28/01/2018;PTFJS;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;RIO DE JANEIRO;RJ;***;TÁXI AÉREO;FINALIZADA
77684;26/01/2018;PTWUX;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;ARROIO GRANDE;RS;5JTI;AGRÍCOLA;FINALIZADA
77663;26/01/2018;PTWZP;ACIDENTE;EXCURSÃO DE PISTA, INCURSÃO EM PISTA;INACIOLÂNDIA;GO;***;AGRÍCOLA;FINALIZADA
77689;25/01/2018;PRMLP;INCIDENTE GRAVE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;JUARA;MT;***;PRIVADA;FINALIZADA
77701;23/01/2018;PTLJY;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ANÁPOLIS;GO;SWNS;PRIVADA;FINALIZADA
77697;23/01/2018;PTIYH;ACIDENTE;EXCURSÃO DE PISTA;ITAITUBA;PA;SNMD;PRIVADA;FINALIZADA
77678;23/01/2018;PPHLI;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;***;ESPECIALIZADA;FINALIZADA
78461;21/01/2018;PTRRQ;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;PORTO ALEGRE;RS;SBPA;PRIVADA;FINALIZADA
77676;21/01/2018;PRAXA;INCIDENTE;COLISÃO COM AVE;BELÉM;PA;SBBE;REGULAR;FINALIZADA
77653;21/01/2018;PUFSZ;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;VILA VELHA;ES;SIVU;EXPERIMENTAL;FINALIZADA
77686;19/01/2018;PTJKY;ACIDENTE;POUSO AQUÉM/ALÉM DA PISTA;GARIBALDI;RS;SSGA;PRIVADA;FINALIZADA
